employee_id,first_name,last_name,full_name,email,email_domain,hire_date,job_title,department,salary,salary_band,manager_id,address,city,state,zip_code,birth_date,age,tenure_years,status
0,Ethan,Thompson,Ethan Thompson,ethan.thompson@corp.com,corp.com,2021-04-01,Applications developer,SALES,74000,Mid,2027,SALES,PORT DIANATOWN,OH,16301,1997-08-29,28,4.9,Active
1,James,Kaufman,James Kaufman,james.kaufman@corp.com,corp.com,2023-03-09,Environmental health practitioner,MARKETING,74000,Mid,5016,MARKETING,LAKE TRACIEBURGH,KY,15320,2004-05-13,21,3,Active
2,Tiffany,Morgan,Tiffany Morgan,tiffany.morgan@company.com,company.com,2019-03-20,Politician's assistant,ANALYTICS,65000,Mid,9041,ANALYTICS,JIMENEZMOUTH,FM,40773,1971-01-29,55,6.9,Active
3,Gina,Lam,Gina Lam,gina.lam@corp.com,corp.com,2023-09-19,TEFL teacher,MARKETING,55000,Mid,9025,MARKETING,EAST DEVON,CT,08959,1975-11-15,50,2.4,Active
5,Courtney,Jones,Courtney Jones,courtney.jones@corp.com,corp.com,2023-12-14,IT consultant,ANALYTICS,225000,Senior,2038,ANALYTICS,WEST SAMANTHA,MS,58527,2000-07-19,25,2.2,Active
6,Jeffrey,George,Jeffrey George,jeffrey.george@company.com,company.com,2022-06-01,Corporate investment banker,MARKETING,62100,Mid,3099,MARKETING,DANIELVILLE,VI,55788,1979-11-08,46,3.7,Active
7,James,Bullock,James Bullock,james.bullock@analytics.com,analytics.com,2023-02-10,"Social research officer, government",MARKETING,62100,Mid,9091,MARKETING,NORTH ERIC,MH,27593,1992-10-30,33,3,Active
8,Debra,Lewis,Debra Lewis,debra.lewis@analytics.com,analytics.com,2023-10-04,Sports coach,N/A,85000,Senior,3131,N/A,N/A,MP,77069,2003-01-03,23,2.4,Active
9,Debbie,Yates,Debbie Yates,debbie.yates@analytics.com,analytics.com,2024-02-16,Historic buildings inspector/conservation officer,N/A,74000,Mid,3148,N/A,WEBERSHIRE,MS,68411,1974-09-29,51,2,Active
11,James,Cruz,James Cruz,james.cruz@tech.com,tech.com,2024-12-23,Copy,HR,55000,Mid,2072,HR,RICARDOPORT,ID,17219,2004-10-13,21,1.2,Active
13,Billy,Lane,Billy Lane,billy.lane@company.com,company.com,2026-01-04,Fast food restaurant manager,MARKETING,55000,Mid,9051,MARKETING,HUGHESLAND,MA,66065,1987-06-07,38,0.1,Active
15,Tracey,Harris,Tracey Harris,tracey.harris@tech.com,tech.com,2019-05-07,Best boy,MARKETING,75000,Mid,5088,MARKETING,LAKE WAYNEBERG,MI,33530,2003-08-09,22,6.8,Active
17,Kyle,Ross,Kyle Ross,kyle.ross@company.com,company.com,2024-06-30,"Librarian, public",N/A,95000,Senior,9008,N/A,SOUTH ANNETTECHESTER,AK,01401,1972-07-24,53,1.6,Active
18,Deborah,James,Deborah James,deborah.james@tech.com,tech.com,2023-03-12,Clinical biochemist,MARKETING,62100,Mid,3056,MARKETING,WEST MARCO,AR,08354,1995-03-18,30,2.9,Active
19,Jason,Ramsey,Jason Ramsey,jason.ramsey@analytics.com,analytics.com,2023-02-11,"Lecturer, further education",ANALYTICS,105000,Senior,9046,ANALYTICS,SOUTH MARY,MA,63613,1966-08-30,59,3,Active
20,Kimberly,Stuart,Kimberly Stuart,kimberly.stuart@enterprise.com,enterprise.com,2021-07-15,"Conservation officer, historic buildings",HR,85000,Senior,2072,HR,WEST ASHLEYHAVEN,WY,68934,1981-09-25,44,4.6,Active
22,Margaret,Buckley,Margaret Buckley,margaret.buckley@analytics.com,analytics.com,2020-10-21,Advertising art director,SALES,225000,Senior,9049,N/A,AMBERSIDE,WA,02941,1971-06-30,54,5.3,Active
24,Regina,Key,Regina Key,regina.key@enterprise.com,enterprise.com,2021-09-01,Graphic designer,IT,225000,Senior,3108,IT,SMITHHAVEN,NM,32443,1987-06-14,38,4.5,Active
25,Elizabeth,Mills,Elizabeth Mills,elizabeth.mills@corp.com,corp.com,2023-03-07,Armed forces technical officer,HR,85000,Senior,2004,N/A,SOUTH LUISSTAD,MT,53172,1970-06-13,55,3,Active
27,Brandy,Garcia,Brandy Garcia,brandy.garcia@analytics.com,analytics.com,2020-05-21,"Surveyor, hydrographic",MARKETING,95000,Senior,5004,N/A,NELSONLAND,MA,02825,1974-10-13,51,5.8,Active
28,Alexis,Baker,Alexis Baker,alexis.baker@corp.com,corp.com,2020-11-03,Theme park manager,HR,105000,Senior,5013,N/A,MARIEPORT,MH,38987,1982-10-05,43,5.3,Active
