employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
2390,lisa,rodriguez,LISA.RODRIGUEZ@ENTERPRISE.COM,2019-06-11,Microbiologist,HR,,2072,,West Katherine,NH,46577,1977-12-16,Active
2985,shane,Garcia,shane.garcia@corp.com,2027-10-21,Senior tax professional/tax inspector,Analytics,"$85,000",5021,,Barbaraside,UT,76818,1998-12-20,Active
296,Maurice,sanchez,maurice.sanchez@analytics.com,2021-07-18,"Surveyor, building control",SALES,"$95,000",9089,"75441 Johnson Trace Apt. 722 Christianview, ND 25408",North Erica,FL,26976,1997-08-26,Active
2274,Pamela,Juarez,pamela.juarez@corp.com,2023-12-14,Estate manager/land agent,IT,"$75,000",,"3508 Jacqueline Lock Suite 748 Coxburgh, WI 76928",,FL,05489,1975-04-15,Active
2046,DANIEL,Caldwell,daniel.caldwell@corp.com,2025-05-19,Special educational needs teacher,Marketing,"$75,000",,"343 Thomas Locks Rachelton, CT 93780",North Morganchester,MO,37666,1972-01-20,Active
83,LESLIE,CONWAY,leslie.conway@company.com,2022-09-04,Photographer,Marketing,"$45,000",3147,"92603 Gordon Highway West Benjaminville, OK 05560",,OR,26849,1969-09-14,Active
678,CHAD,murphy,chad.murphy@corp.com,2024-09-06,Speech and language therapist,SALES,"$75,000",9087,"PSC 0395, Box 2005 APO AE 01836",,FL,85647,1988-06-12,Active
2183,Clayton,Bush,clayton.bush@company,2021-11-06,"Surveyor, minerals",Analytics,"$74,000",9033,"0200 Joseph Track West Anthonyport, AZ 49598",Adkinsstad,ME,97680,1995-09-24,Active
1504,stephen,SHERMAN,STEPHEN.SHERMAN@TECH.COM,2023-12-02,Legal secretary,IT,,5096,"1320 Perry Parks Lake Sarahville, IL 56719",North Gavinstad,MO,51279,1973-05-31,Active
733,joshua,Norman,joshua.norman@enterprise.com,2024-11-08,Police officer,Marketing,,9082,Unit 8596 Box 7085 DPO AE 41053,,IA,93155,1966-09-12,Active
1632,MICHELE,lin,MICHELE.LIN@CORP.COM,2024-06-08,Pension scheme manager,,65000,9095,"9580 William Corners Port Raymondbury, IL 89171",West Leah,HI,45044,1972-06-29,Active
2373,andrew,HANSEN,ANDREW.HANSEN@TECH.COM,2023-08-19,Secretary/administrator,Analytics,,5077,"35876 Chen Glens Port Luisport, ID 44665",Lake Jennifer,DC,78756,1998-10-22,Active
221,Carrie,rice,CARRIE.RICE@TECH.COM,2022-02-14,Bonds trader,it,"$105,000",5030,"82868 Joshua Groves Apt. 834 Dukehaven, IL 67387",Keithview,ME,15045,1969-02-26,Active
2645,debra,james,debra.james@company.com,2021-03-24,"Merchandiser, retail",Marketing,"$105,000",,"3062 Jill Loop Port Chelsea, NV 90273",Jonesport,PR,96088,1988-10-20,Active
879,NATALIE,SMITH,natalie.smith@analytics.com,2020-06-27,Social researcher,it,"$85,000",2093,"35530 Roach Creek Port Brandon, ID 27963",Bobbyton,MI,15254,1980-12-25,Active
87,Laura,Dougherty,laura.dougherty@company.com,2023-08-26,Government social research officer,SALES,,5002,"8311 Oneill Mill Suite 690 Port Madisonfort, ME 95223",Sharonfurt,FL,57351,1982-07-15,Active
650,TODD,Wagner,todd.wagner@company.com,2019-06-09,Mechanical engineer,Analytics,"$225,000",3118,"1872 Hebert Prairie Romerobury, IN 74276",Blairfort,AS,95029,2001-11-10,Active
1740,jessica,POWELL,jessica.powell@enterprise.com,2022-06-22,"Embryologist, clinical",IT,"$85,000",9006,"8267 Hayes Isle North Jacob, NM 76049",South William,WY,03527,1972-01-17,Active
2237,robert,TAYLOR,robert.taylor@analytics.com,2026-09-04,Public relations officer,IT,"55,000",2062,,West Darren,MO,93503,1967-07-31,Active
1565,PAUL,VELEZ,paul.velez@analytics.com,2020-10-28,Technical brewer,Marketing,"$105,000",2061,"855 Clark Haven Apt. 449 North Kristaside, MH 38450",Carlmouth,MP,90786,1989-01-07,Active
858,WESLEY,Griffin,wesley.griffin@corp.com,2020-09-28,Health and safety adviser,Marketing,"$75,000",2007,"442 Katelyn Vista Suite 923 North Bobbyview, MI 37952",,CA,60756,1981-08-01,Active
2119,Brittney,Lopez,brittney.lopez@company,2022-08-10,TEFL teacher,Analytics,"$45,000",5098,USS Miller FPO AE 21979,,AS,20475,1970-09-23,Active
1453,collin,GIBBS,collin.gibbs@analytics,2023-07-02,Writer,Marketing,"$85,000",5000,"1886 Daisy Drive Suite 519 Torresberg, VA 24094",Heatherland,NH,38683,1983-07-09,Active
2247,Jennifer,cardenas,jennifer.cardenas@enterprise.com,2021-05-09,Police officer,IT,"$105,000",,,West Maxwell,MA,96240,1975-05-24,Active
1201,Michael,hernandez,michael.hernandez@company.com,2021-01-22,Technical author,IT,"$62,100",5008,"6893 Kelly Union Apt. 411 North Jerryview, MD 11549",Albertfurt,NJ,65643,2003-07-20,Active
1998,Jennifer,garcia,jennifer.garcia@analytics.com,2020-04-24,Health and safety adviser,,"$225,000",2037,,,LA,56255,1970-02-28,Active
1053,Kristin,rivera,kristin.rivera@corp.com,2024-09-22,Comptroller,,"$85,000",9099,"536 Frank Points West Craigshire, NY 75007",,NJ,10067,1986-05-15,Active
2045,CYNTHIA,Neal,cynthia.neal@analytics.com,2027-07-01,Environmental consultant,Marketing,"$74,000",,"45091 Reynolds Junctions Suite 958 Pageburgh, UT 53184",Danielleberg,WY,74653,1969-06-10,Active
2778,REBECCA,Ross,rebecca.ross@enterprise.com,2024-08-18,Human resources officer,SALES,"$75,000",9091,,New James,RI,44074,2001-02-24,Active
1752,Lori,REEVES,LORI.REEVES@ANALYTICS.COM,2021-10-07,Environmental health practitioner,Marketing,"$75,000",9063,"1379 Nash Junction Suite 558 New Christopherborough, TX 64955",Michaelville,IN,43006,1971-10-26,Active
1197,pamela,Cruz,pamela.cruz@analytics.com,2020-09-08,Broadcast journalist,IT,$90000,5060,"7672 Mark Orchard Suite 206 Johnbury, AK 49045",East Sarahport,NM,05698,1990-06-22,Active
37,joseph,WILLIS,JOSEPH.WILLIS@CORP.COM,2021-11-25,"Engineer, site",IT,"$105,000",,"94338 Klein Green Apt. 511 Scottchester, GA 70006",Youngbury,AK,37886,2002-11-30,Active
1385,Sarah,park,sarah.park@tech.,2020-10-29,Government social research officer,SALES,"$75,000",2083,USNV Anderson FPO AP 94253,,MO,92587,2004-04-14,Active
34,VALERIE,BATES,VALERIE.BATES@COMPANY.COM,2021-12-10,"Copywriter, advertising",IT,"$225,000",3118,,Sarahchester,NH,39587,1992-11-14,Active
2157,OMAR,BEASLEY,omar.beasley@tech.com,2025-01-06,"Nurse, mental health",IT,65000,5085,"1462 Stacy Views East Jamesberg, MH 78942",,OR,12907,1970-12-29,Active
1848,taylor,WILLIAMSON,taylor.williamson@analytics.com,2024-06-13,Dealer,SALES,"$62,100",3037,"3057 Hernandez Keys East Juan, AR 49687",South Charlesberg,NE,54310,1993-04-01,Active
1969,luis,BROWN,luis.brown@corp.com,2021-08-29,Film/video editor,it,"$85,000",5023,"4450 Michael Mills Apt. 175 Kevinton, KS 30332",South Michaelberg,VT,86679,1978-03-15,Active
1355,Sharon,Hernandez,sharon.hernandez@company.com,2023-06-05,Drilling engineer,Analytics,"$62,100",3008,"584 Tyler Trace Longberg, NV 15068",,MH,78986,1980-10-05,Active
2093,Douglas,Johnson,DOUGLAS.JOHNSON@TECH.COM,2020-02-11,Insurance underwriter,Marketing,"$105,000",5024,"6681 Sarah Springs Lake Brittanyburgh, MD 17844",Gainesstad,NC,16513,1966-08-10,Active
1408,richard,Garcia,richard.garcia@analytics.com,2023-07-15,Electronics engineer,SALES,$90000,,"5209 Hays Lights Suite 546 Pamburgh, OR 57995",East Vincentside,IA,35127,1972-02-17,Active
619,steven,Walker,steven.walker@enterprise.com,2027-08-13,Systems analyst,,"$225,000",,"53939 Lester Lane South Sarahburgh, MN 09431",West Davidport,GA,41321,1982-04-28,Active
2269,TONYA,BURNETT,tonya.burnett@tech.com,2024-02-01,"Nurse, children's",it,"$45,000",3103,"9024 Phelps Junction North Taylor, DE 92904",Port Shannonborough,OR,13531,1996-01-02,Active
1365,Larry,LEE,larry.lee@corp.com,2023-10-15,"Editor, film/video",IT,"$45,000",,,New Jessicabury,ME,21361,1999-11-22,Active
