employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status,rejection_reason,rejected_at
4,Kathy,Schwartz,kathy.schwartz@company.com,2021-07-24,Plant breeder/geneticist,IT,74000,3072,IT,ALEXANDERTON,DE,31536,2001-04-17,Active,DUPLICATE_EMPLOYEE_ID,2026-02-18 16:09:27.882563
4,Karen,GRANT,karen.grant@analytics.com,2020-07-03,Horticultural consultant,HR,65000,5001,HR,N/A,MI,73503,1983-06-05,Active,DUPLICATE_EMPLOYEE_ID,2026-02-18 16:09:27.882563
10,Kim,hood,kim.hood@corp.com,2024-03-15,Music tutor,IT,225000,,N/A,LAKE SARAH,PA,64257,1974-09-22,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
12,ALEC,Livingston,alec.livingston@company.com,2023-03-19,Medical sales representative,IT,74000,,IT,NORTH SABRINABOROUGH,NY,84488,1973-04-30,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
14,TIFFANY,ELLISON,tiffany.ellison@company.com,2019-10-30,Acupuncturist,IT,,,IT,N/A,NH,13481,1976-09-28,Active,"INVALID_MANAGER_ID, INVALID_SALARY",2026-02-18 16:09:27.882563
16,Mario,FERNANDEZ,mario.fernandez@company.,2025-01-18,Sport and exercise psychologist,IT,75000,,IT,N/A,ID,86296,1980-01-18,Active,"INVALID_EMAIL, INVALID_MANAGER_ID",2026-02-18 16:09:27.882563
21,RACHEL,FLEMING,rachel.fleming@analytics.com,2023-12-09,Cartographer,HR,90000,,HR,DOMINIQUEHAVEN,VI,12833,1992-06-24,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
23,CYNTHIA,wolfe,cynthia.wolfe@company,2023-12-06,Archaeologist,N/A,55000,5062,N/A,BURNETTBERG,MO,12932,1981-03-30,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
26,Sean,MILLER,sean.miller@enterprise.com,2022-05-14,Community arts worker,MARKETING,74000,,N/A,JORDANHAVEN,OR,89144,2004-04-08,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
29,Amy,taylor,amy.taylor@company.,2026-03-09,"Engineer, communications",IT,95000,5041,IT,EAST KELLI,LA,99562,1981-06-30,Active,"INVALID_EMAIL, FUTURE_HIRE_DATE",2026-02-18 16:09:27.882563
